timestamp,original_path,segment_index,saved_image_path,predicted_char,corrected_char
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,12,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_012_20260427_115432.png,I,I
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,13,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_013_20260427_115432.png,N,N
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,14,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_014_20260427_115432.png,H,N
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,15,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_015_20260427_115432.png,I,I
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,16,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_016_20260427_115432.png,N,N
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,17,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_017_20260427_115432.png,G,G
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,18,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_018_20260427_115432.png,W,O
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,19,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_019_20260427_115432.png,G,G
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,20,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_020_20260427_115432.png,E,E
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,21,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_021_20260427_115432.png,T,T
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,22,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_022_20260427_115432.png,V,V
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,23,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_023_20260427_115432.png,Q,E
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,24,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_024_20260427_115432.png,R,R
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,25,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_025_20260427_115432.png,Y,Y
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,26,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_026_20260427_115432.png,T,T
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,27,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_027_20260427_115432.png,G,I
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,28,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_028_20260427_115432.png,N,R
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,29,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_029_20260427_115432.png,P,E
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,30,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_030_20260427_115432.png,D,D
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,31,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_031_20260427_115432.png,Y,F
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,32,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_032_20260427_115432.png,S,S
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,33,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_033_20260427_115432.png,J,I
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,34,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_034_20260427_115432.png,T,T
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,35,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_035_20260427_115432.png,T,T
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,36,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_036_20260427_115432.png,A,I
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,37,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_037_20260427_115432.png,N,N
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,38,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_038_20260427_115432.png,G,G
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,39,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_039_20260427_115432.png,M,B
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,40,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_040_20260427_115432.png,Y,Y
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,41,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_041_20260427_115432.png,H,H
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,42,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_042_20260427_115432.png,E,E
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,43,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_043_20260427_115432.png,R,R
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,44,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_044_20260427_115432.png,G,S
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,45,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_045_20260427_115432.png,J,I
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,46,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_046_20260427_115432.png,S,S
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,47,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_047_20260427_115432.png,T,T
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,48,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_048_20260427_115432.png,O,E
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,49,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_049_20260427_115432.png,I,R
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,50,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_050_20260427_115432.png,A,O
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,51,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_051_20260427_115432.png,N,N
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,52,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_052_20260427_115432.png,Q,T
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,53,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_053_20260427_115432.png,H,H
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,54,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_054_20260427_115432.png,E,E
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,55,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_055_20260427_115432.png,B,B
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,56,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_056_20260427_115432.png,A,A
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,57,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_057_20260427_115432.png,W,N
20260427_115432,samples/raw/letters/sentence_alice_was_beginning_001_raw.jpeg,58,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_alice_was_beginning_001_raw_segment_058_20260427_115432.png,K,K
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,1,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_001_20260427_153639.png,A,A
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,2,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_002_20260427_153639.png,N,N
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,3,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_003_20260427_153639.png,D,D
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,4,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_004_20260427_153639.png,O,O
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,6,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_006_20260427_153639.png,L,F
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,7,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_007_20260427_153639.png,N,H
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,8,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_008_20260427_153639.png,O,A
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,9,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_009_20260427_153639.png,V,V
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,10,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_010_20260427_153639.png,I,I
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,11,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_011_20260427_153639.png,N,N
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,13,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_013_20260427_153639.png,G,G
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,14,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_014_20260427_153639.png,N,N
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,15,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_015_20260427_153639.png,O,O
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,16,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_016_20260427_153639.png,D,T
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,17,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_017_20260427_153639.png,H,H
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,18,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_018_20260427_153639.png,I,I
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,19,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_019_20260427_153639.png,N,N
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,20,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_020_20260427_153639.png,I,G
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,21,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_021_20260427_153639.png,G,T
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,22,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_022_20260427_153639.png,N,O
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,23,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_023_20260427_153639.png,D,D
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,24,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_024_20260427_153639.png,O,O
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,26,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_026_20260427_153639.png,O,O
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,27,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_027_20260427_153639.png,N,N
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,28,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_028_20260427_153639.png,C,C
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,29,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_029_20260427_153639.png,E,E
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,30,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_030_20260427_153639.png,O,O
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,31,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_031_20260427_153639.png,R,R
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,32,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_032_20260427_153639.png,T,T
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,34,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_034_20260427_153639.png,N,W
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,35,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_035_20260427_153639.png,I,I
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,36,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_036_20260427_153639.png,C,C
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,37,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_037_20260427_153639.png,E,E
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,38,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_038_20260427_153639.png,S,S
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,39,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_039_20260427_153639.png,H,H
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,40,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_040_20260427_153639.png,E,E
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,41,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_041_20260427_153639.png,H,H
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,42,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_042_20260427_153639.png,A,A
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,43,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_043_20260427_153639.png,D,D
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,44,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_044_20260427_153639.png,R,P
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,45,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_045_20260427_153639.png,E,E
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,46,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_046_20260427_153639.png,E,E
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,47,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_047_20260427_153639.png,D,P
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,48,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_048_20260427_153639.png,E,E
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,49,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_049_20260427_153639.png,D,D
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,50,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_050_20260427_153639.png,I,I
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,51,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_051_20260427_153639.png,N,N
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,52,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_052_20260427_153639.png,M,T
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,53,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_053_20260427_153639.png,M,H
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,54,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_054_20260427_153639.png,E,E
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,55,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_055_20260427_153639.png,B,B
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,56,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_056_20260427_153639.png,O,O
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,57,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_057_20260427_153639.png,O,O
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,58,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_058_20260427_153639.png,K,K
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,59,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_059_20260427_153639.png,H,H
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,60,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_060_20260427_153639.png,E,E
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,61,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_061_20260427_153639.png,S,S
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,62,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_062_20260427_153639.png,I,I
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,63,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_063_20260427_153639.png,S,S
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,64,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_064_20260427_153639.png,T,T
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,66,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_066_20260427_153639.png,A,E
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,67,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_067_20260427_153639.png,V,R
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,68,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_068_20260427_153639.png,V,W
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,69,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_069_20260427_153639.png,A,A
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,70,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_070_20260427_153639.png,S,S
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,71,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_071_20260427_153639.png,R,R
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,72,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_072_20260427_153639.png,E,E
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,73,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_073_20260427_153639.png,A,A
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,74,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_074_20260427_153639.png,D,D
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,75,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_075_20260427_153639.png,I,I
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,76,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_076_20260427_153639.png,N,N
20260427_153639,samples/raw/letters/and_of_having_001_raw.jpeg,77,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/and_of_having_001_raw_segment_077_20260427_153639.png,Y,G
20260427_155707,samples/raw/letters/sentence_so_she_was_considering_001_raw.jpeg,1,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_so_she_was_considering_001_raw_segment_001_20260427_155707.png,G,S
20260427_155707,samples/raw/letters/sentence_so_she_was_considering_001_raw.jpeg,2,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_so_she_was_considering_001_raw_segment_002_20260427_155707.png,O,O
20260427_155707,samples/raw/letters/sentence_so_she_was_considering_001_raw.jpeg,3,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_so_she_was_considering_001_raw_segment_003_20260427_155707.png,S,S
20260427_155707,samples/raw/letters/sentence_so_she_was_considering_001_raw.jpeg,4,/Users/yuxinyu/handwriting-tool/corrected_samples/letter_segments/images/sentence_so_she_was_considering_001_raw_segment_004_20260427_155707.png,H,H
